Site Name,Full Address,Latitude,Longitude,Radius (Meters),Attendance Type,Map Link
Head Office,"Asmara Road, Addis Ababa, Ethiopia",9.02153590361139,38.8148455028517,500,Fingerprint & GPS Geofence,https://maps.app.goo.gl/z7BDyNUY1Fhd8wTi6
Dambi Dolo University,"Dambi Dolo, Oromia",8.552117,34.840724,500,GPS Geofence,https://maps.app.goo.gl/j1ysmoSjd9vY1MNQ7
Mattu University,"Mattu, Oromia",8.3,35.58333,500,GPS Geofence,https://maps.app.goo.gl/XB3CTpe7bfQkZrTt7
Bonga University,"Bonga, Southwest Ethiopia",7.301645,36.231359,500,GPS Geofence,https://maps.app.goo.gl/8zEpkS923fCFJ1bY7
Borana University,"Yabelo, Oromia",4.907921,38.155449,500,GPS Geofence,https://maps.app.goo.gl/rYUHyQJMCdqEzxfX6
Jigjiga Quarantine Center,"Jigjiga, Somali Region",9.35,42.8,500,GPS Geofence,
Gewane ATVT College,"Gewane, Afar",10.007432252497,40.5742010246076,500,GPS Geofence,https://maps.app.goo.gl/z1piopSPwWtMtivw9
AACRA Garage,"Kality, Addis Ababa",8.91199797175863,38.782115428293,500,GPS Geofence,https://maps.app.goo.gl/ELwryLDYzLoYQbuL6
"FDRE, Ministry of Health","Mekanisa, Addis Ababa",8.983348,38.741073,500,GPS Geofence,https://maps.app.goo.gl/ZqZf51qPHND2Yy3CA
Entoto Riverside 40 Dereja,Addis Ababa,9.04096646233543,38.7567485859189,500,GPS Geofence,https://maps.app.goo.gl/iXRS97m49d4jrCQ2A
Nekemt,Nekemt,9.07115785189412,36.520030388084,500,GPS Geofence,https://maps.app.goo.gl/ErvKddi4iBZzmCxs9
